product_url,title,price,rating,Stars
['https://www.flipkart.com/american-tourister-mist-sch-bag-32-5-l-backpack/p/itmf47g6rz3egcwf?pid=BKPF47G6EXJNYGVN&lid=LSTBKPF47G6EXJNYGVNRVJPYA&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_11&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn8ngKpkCDJdmP1Osl7WFUaCqCH7uEge9KV1hYzTkAYzhA%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],32.5 L Backpack Mist Sch Bag  (Black),,"36,244 ratings and 4,003 reviews",4.2 stars
['https://www.flipkart.com/sky-bulls-large-35-l-laptop-backpack-reflective-strip-grey-school-collage-bag/p/itm4965fd03850db?pid=BKPGSYYNJQDHBJMG&lid=LSTBKPGSYYNJQDHBJMGCKJ2W8&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_12&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn9SBUXIMrf1CkxrkL8KxCJjdckoo9kyEMLH0baBvHfFtQ%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Large 35 L Laptop Backpack LARGE 35 L LAPTOP BACKPACK REFLECTIVE STRIP(GREY) SCHOOL AND COLLAGE BAG  (Black),,57 ratings and 2 reviews,3.7 stars
['https://www.flipkart.com/wrogn-college-school-travel-office-men-women-30-l-backpack/p/itmfee9421558fd2?pid=BKPGZS9YYJWUVNXU&lid=LSTBKPGZS9YYJWUVNXUQ9HFHI&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_13&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGZS9YYJWUVNXU.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 30 L Laptop Backpack For College School Travel Office For Men & Women  (Blue),,"29,717 ratings and 2,024 reviews",3.9 stars
['https://www.flipkart.com/arctic-fox-black-drawstring-bag-15-l-backpack/p/itmc900936430027?pid=BKPFWGJSZU7NWCRH&lid=LSTBKPFWGJSZU7NWCRHURDIP3&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_14&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPFWGJSZU7NWCRH.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Small 15 L Backpack Black Drawstring Bag  (Black),,"35,637 ratings and 3,479 reviews",4.2 stars
['https://www.flipkart.com/fast-look-expandable-travel-rucksack-outdoor-sport-camping-hiking-trekking-bag-blue-60-l-backpack/p/itmb50e8f01fb3b5?pid=BKPGJ59K9YFMQ2QA&lid=LSTBKPGJ59K9YFMQ2QAAINSXE&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_15&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGJ59K9YFMQ2QA.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Large 60 L Backpack Expandable Travel Rucksack for Outdoor Sport Camping Hiking Trekking Bag-Blue  (Blue),,852 ratings and 33 reviews,4.1 stars
['https://www.flipkart.com/wrogn-spacy-unisex-backpack-fits-upto-16-inches-college-bag-school-bag-55-l/p/itme77dfd5e09979?pid=BKPGZR4YMGKADQMY&lid=LSTBKPGZR4YMGKADQMYR5ZR9I&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_16&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGZR4YMGKADQMY.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],"55 L Laptop Backpack spacy unisex backpack fits upto 16 Inches/college bag/school bag  (Blue, Grey)",,"14,931 ratings and 987 reviews",3.9 stars
['https://www.flipkart.com/wildcraft-stack-30-l-backpack/p/itmef2d609543104?pid=BKPGSFCDYKPVVK2U&lid=LSTBKPGSFCDYKPVVK2UUJEPD9&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_17&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn9m-oRj7CYegzil8nItk8S_EYicN1Ew0U_g0IT-zNuGlw%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 30 L Laptop Backpack Stack  (Red),,10 ratings and 0 reviews,4.4 stars
['https://www.flipkart.com/american-tourister-wave-24l-fo2-0-00-001-24-l-backpack/p/itm72a8a91e23f30?pid=BKPGND2YYDP4GSNC&lid=LSTBKPGND2YYDP4GSNC2HSEVQ&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_18&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn9GqHEkBI0oKO0yzL4Tw58Rfp6jV8lhpVRrFYQYm-it6A%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 24 L Backpack Wave 24L (FO2 (0) 00 001)  (Red),,360 ratings and 27 reviews,3.7 stars
['https://www.flipkart.com/american-tourister-fizz-sch-bag-32-5-l-backpack/p/itmf47g6mwyxumsx?pid=BKPF47G6G8AA24RR&lid=LSTBKPF47G6G8AA24RR12X13G&marketplace=FLIPKART&q=bags&store=reh%2F4d7&spotlightTagId=FkPickId_reh%2F4d7&srno=s_1_19&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPF47G6G8AA24RR.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],"32.5 L Backpack Fizz Sch Bag  (White, Blue)",,"1,26,498 ratings and 13,952 reviews",4.2 stars
['https://www.flipkart.com/wrogn-unisex-spacy-fits-upto-16-inches-college-bag-school-bag-55-l-backpack/p/itmb40a7303e5b53?pid=BKPGHCJCDMQPSCU9&lid=LSTBKPGHCJCDMQPSCU9OOXRJP&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_20&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGHCJCDMQPSCU9.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],55 L Laptop Backpack unisex spacy fits upto 16 Inches/college bag/school bag  (Black),,"14,931 ratings and 987 reviews",3.9 stars
['https://www.flipkart.com/wildcraft-zeal-17-2159-l-backpack/p/itmf7av56sy5827s?pid=BKPF7AV5FD59V69G&lid=LSTBKPF7AV5FD59V69GA1RSGT&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_21&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn9U6BdfhgEuA16kfIhksoa8JrsjXt9zEfIlim-D3FHfvw%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],17.2159 L Backpack Zeal  (Grey),,"44,065 ratings and 5,975 reviews",4.4 stars
['https://www.flipkart.com/wildcraft-colossal-40-l-backpack/p/itmfejkctzjuntmj?pid=BKPFEJKCDURQ2QMS&lid=LSTBKPFEJKCDURQ2QMSZPHPRD&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_22&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn-MytcKYXe5kCxDxC55KN5i8VhK5jRXkXtUlRFXtHFR7Q%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],"Large 40 L Backpack Colossal  (Black, Orange)",,"19,050 ratings and 1,850 reviews",4.3 stars
['https://www.flipkart.com/sonex-travel-bag-hip-strap-comfortable-soulder-strip-wondelust-travelling-30-l-21in-backpack/p/itm69b2527a4519d?pid=RKSGBMNCTYMJXHJM&lid=LSTRKSGBMNCTYMJXHJMFRKPNK&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_23&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.RKSGBMNCTYMJXHJM.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 30 L Laptop Backpack TRAVEL BAG WITH HIP STRAP AND COMFORTABLE SOULDER STRIP FOR WONDELUST TRAVELLING  (Grey),,678 ratings and 60 reviews,4 stars
['https://www.flipkart.com/skybags-ikon-01-college-backpack-e-blue-22-l/p/itma0d6b69e42d15?pid=BKPGRSEKXAB9QFEG&lid=LSTBKPGRSEKXAB9QFEG0OVAEW&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_24&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGRSEKXAB9QFEG.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 22 L Backpack IKON 01 COLLEGE BACKPACK (E) BLUE  (Blue),,341 ratings and 20 reviews,4.2 stars
['https://www.flipkart.com/puma-one-spacious-unisex-multpurpose-bag-laptop-sleeve-core-v1-30-l-backpack/p/itm36ed8e5b2f8d1?pid=BKPGGSFEFTNZKZUJ&lid=LSTBKPGGSFEFTNZKZUJWHYRRI&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_25&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGGSFEFTNZKZUJ.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 30 L Backpack One Spacious Unisex Multpurpose bag with Laptop Sleeve CORE V1  (Blue),,"1,549 ratings and 85 reviews",4.1 stars
['https://www.flipkart.com/whitecraft-backpack-college-school-travel-office-men-women-30-l/p/itm149290e7eea00?pid=BKPGTDYQNKHMSFGZ&lid=LSTBKPGTDYQNKHMSFGZBBBAI3&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_26&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGTDYQNKHMSFGZ.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 30 L Laptop Backpack Backpack For College School Travel Office Backpack For Men & Women  (Blue),,50 ratings and 4 reviews,3.5 stars
['https://www.flipkart.com/american-tourister-twing-backpack-03-grey-30-l/p/itmfeqcpk6ge5nnk?pid=BKPFEQCPYQEZGWHZ&lid=LSTBKPFEQCPYQEZGWHZJH4WAR&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_27&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn8vLYNQG2fBxIihpntRiwjOQ90esFIAsoW5t1RRcJcYsA%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],"Medium 30 L Backpack TWING BACKPACK 03 - GREY  (Grey, Black)",,"13,476 ratings and 1,396 reviews",4.1 stars
['https://www.flipkart.com/luhi-anti-theft-water-resistant-cross-body-bags-usb-charging-port-bag-phone-6-l-trolley-backpack/p/itm72c59caef662e?pid=BKPGRFZFRGRYQ2UF&lid=LSTBKPGRFZFRGRYQ2UFIB7O5O&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_28&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn-bGvD_NaDTkWKQSa3WmKrEvd5pHOApaUweZW9dOmQcnw%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Small 6 L Laptop Backpack Anti-theft Water-Resistant Cross body Bags With USB Charging Port Bag Phone  (Brown),,16 ratings and 9 reviews,4.8 stars
['https://www.flipkart.com/wrogn-bp-rexine-1500-35-l-backpack/p/itm4adb05787320f?pid=BKPGHPVQTF9XMBQH&lid=LSTBKPGHPVQTF9XMBQHSFS5H0&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_29&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGHPVQTF9XMBQH.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Large 35 L Laptop Backpack BP/REXINE/1500  (Black),,"4,264 ratings and 355 reviews",4.3 stars
['https://www.flipkart.com/wildcraft-spacy-mel-30-l-backpack/p/itmfejkcmk8a4aej?pid=BKPFEJKCAUWNGM5G&lid=LSTBKPFEJKCAUWNGM5GEEAUZK&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_30&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPFEJKCAUWNGM5G.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 30 L Backpack Spacy_Mel  (Multicolor),,"29,090 ratings and 2,694 reviews",4.3 stars
['https://www.flipkart.com/wildcraft-seek-30-l-backpack/p/itmf7av5garmyen9?pid=BKPF7AV5FYWZMRE5&lid=LSTBKPF7AV5FYWZMRE5EPMONF&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_31&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn9sywoxfB4qskZCfcEDt0CP0a8GT8oBzpSzcpzt872_6A%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 30 L Backpack Seek  (Red),,"25,071 ratings and 2,764 reviews",4.3 stars
['https://www.flipkart.com/skybags-lit-17l-daypack-blue-17-l-backpack/p/itm59a00fef8c2fb?pid=BKPGE5VQTNBN6VPX&lid=LSTBKPGE5VQTNBN6VPXQDW7TO&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_32&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=en_hebkLjspXn1pZCa038PCM3HMpKJX4lBJOl1lXK-Cnn_Jlh51dpsBnbhBh5FwbrdTvR6PDMEpZbITFjFObG24qQ%3D%3D&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Small 17 L Backpack LIT 17L DAYPACK BLUE  (Blue),,"2,590 ratings and 154 reviews",4.3 stars
['https://www.flipkart.com/lavie-sport-edge-casual-backpack-26-l/p/itm8100217487a89?pid=BKPGS8KTFXBQ54BC&lid=LSTBKPGS8KTFXBQ54BCS8NZHT&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_33&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGS8KTFXBQ54BC.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 26 L Backpack Edge Casual Backpack  (Grey),,24 ratings and 6 reviews,4.1 stars
['https://www.flipkart.com/skybags-graf-27-l-backpack/p/itm32f7da1971de4?pid=BKPGDSSPJXZWFPYZ&lid=LSTBKPGDSSPJXZWFPYZVISISA&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_34&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGDSSPJXZWFPYZ.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 27 L Backpack Graf  (Black),,"3,502 ratings and 231 reviews",4.1 stars
['https://www.flipkart.com/skybags-marvel-spiderman-school-backpack-02-30-l/p/itm7a09d6e7c9157?pid=BKPGPQYDHGWZW86G&lid=LSTBKPGPQYDHGWZW86G0DZMDX&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_35&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPGPQYDHGWZW86G.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Medium 30 L Backpack MARVEL SPIDERMAN SCHOOL BACKPACK 02  (Red),,763 ratings and 43 reviews,4.2 stars
['https://www.flipkart.com/wildcraft-zeal-17-l-backpack/p/itmf7av5zhfhjjfr?pid=BKPF7AV5GYHHGWVH&lid=LSTBKPF7AV5GYHHGWVHJTMHXE&marketplace=FLIPKART&q=bags&store=reh%2F4d7&srno=s_1_36&otracker=AS_Query_HistoryAutoSuggest_5_0_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_5_0_na_na_na&fm=organic&iid=0f75ad25-7774-471a-8e42-36fff0a390e5.BKPF7AV5GYHHGWVH.SEARCH&ppt=None&ppn=None&ssid=4ipag0d0uo0000001697658133535&qH=404e218d27fee49e'],Small 17 L Backpack Zeal  (Blue),,"44,065 ratings and 5,975 reviews",4.4 stars
